,objID,source_name,project_code,year,ra,dec,z,rpetro,resolution,MRS,sensitivity,S_total,S_inner,S_outer,LCO_total,LCO_total_err,LCO_inner,LCO_inner_err,LCO_outer,LCO_outer_err,MH2_total,MH2_total_err,MH2_inner,MH2_inner_err,MH2_outer,MH2_outer_err,MH2_inner_uplim,MH2_outer_uplim,MH2_total_uplim,Nsigma_total,Nsigma_inner,Nsigma_outer,mstar_total,mstar_inner,mstar_outer,sfr_total,sfr_inner,sfr_outer,delta_sfr,pEdgeOn,qa_flag,edgeon_flag
28,587729776375562308,RXCJ1504.1-0248,2016.1.01269.S,2016,226.03129936,-2.80460515,0.216822,2.0658,0.5790668044939273,7.530652287893086,0.5337640761011488,0.2565058140917361,0.05633036112012,0.0120902060503826,9.620816195124812,8.651793708903115,9.420640742153195,8.151755714525658,9.376400587083454,8.63080990405258,10.259305452079449,9.290282965857752,10.059129999107832,8.790244971480295,10.014889844038091,9.269299161007217,9.355584781849297,9.9759122663612,9.963422676396434,9.31156086165906,18.57312696793775,5.566608559139301,11.4747,10.8603,11.353797893330778,1.84676,1.38074,1.6650098556188897,0.411585,,0,0
29,587726015620317332,HATLAS_J141235.5+023130,2017.1.00025.S,2017,213.14802,2.52503495,0.068509,1.9477,1.0512568768677868,14.190806911414796,1.422285139339821,0.7010537023571313,0.5563645281071837,0.1265477356951573,9.039535434320825,8.405001938174856,8.89484626007088,7.6192446758449925,8.465029467658852,8.423795675661653,9.678024691275462,9.043491195129493,9.533335517025517,8.25773393279963,9.103518724613489,9.06228493261629,8.844466868690912,9.612742534933266,9.593948797446467,4.310558030769563,18.86260126066324,1.0995976220861368,10.6082,10.1176,10.438694419476588,0.607253,0.475739,0.0243417993321737,0.173237,,0,0
30,587731185665638418,8655-3701,2018.1.00558.S,2018,356.75181707,-0.44740504,0.071143,3.6788,1.5853101559033511,18.70643361825293,0.532634208472403,1.5012277988277858,1.0662302312801366,1.3028008776566598,9.8730109116879,7.85872997406973,9.43801334414025,6.913773808985775,9.674583990516773,7.8719333397257,10.511500168642536,8.497219231024367,10.076502601094887,7.552263065940412,10.31307324747141,8.510422596680337,8.136813599344055,9.07036411874889,9.05716075309292,103.34296974519036,334.3794161674836,63.48200731563411,11.1262,10.4332,11.027784574325889,1.34408,1.19103,0.816849053396893,0.548747,0.0199999995529651,0,0
31,588848901003346106,HATLAS_J143430.9+004133,2017.1.00025.S,2017,218.62970036,0.69244018,0.07201,3.26406,1.7499796017308988,20.03066591280125,2.2246137117487588,0.4515955436077224,-0.5311123513080512,0.1061599265133537,8.83407438903533,8.396616017202863,7.851366494119555,7.339164266340329,8.48863877194096,8.277322935421855,9.472563645989966,9.0351052741575,8.489855751074192,7.977653523294966,9.127128028895598,8.915812192376492,8.596220999120938,9.653060126099763,9.653672749983471,2.7381571627551184,3.2523870845216125,1.6267313505398,10.2259,9.59161,10.111194130640063,0.266532,-0.808793,0.2283911674353122,-0.003238,,0,0
32,587731186187632690,587731186187632690_8616-9102,2018.1.00541.S,2018,322.7494346,-0.00058493,0.030211,6.04244,2.52469828891278,25.59385276263403,0.6573274598404043,1.3171949526345492,0.2682229872325951,1.2763503894766215,8.93637648364969,6.896245463471115,7.887404518247736,6.024450137360183,8.895531920491763,6.895271575657623,9.574865740604327,7.534734720425752,8.525893775202373,6.66293939431482,9.5340211774464,7.53376083261226,7.406869309030669,8.244217352512802,8.230209628637573,109.68090371908754,72.93808906844782,100.05996458498606,10.2159,9.28625,10.161573138294903,-0.273551,-0.409744,-0.8434989153101011,-0.391149,0.0299999993294477,0,0
33,587727221402042402,587727221402042402_7977-3703,2018.1.00541.S,2018,333.05203457,12.20518369,0.027587,4.25271,1.7069582280483466,19.58870296785276,0.5681624591241158,1.133997387966563,0.2061944271397834,1.0819808450203627,8.673672411334381,7.107586971082328,7.745869450507602,6.141752788678233,8.621655868388181,7.134948059548181,9.312161668289018,7.746076228036965,8.384358707462239,6.78024204563287,9.260145125342818,7.773437316502818,7.586641328652869,8.46891222471464,8.441551136248785,36.82014040503347,40.189875591668354,30.669578601593223,10.0418,9.12545,9.985669718337304,0.190536,-0.305864,0.0237724045587273,0.230814,0.0299999993294477,0,0
34,587742614561882441,RFGC3069,2021.1.00602.S,2021,240.30948044,14.07877835,0.039083,5.67999,1.067438284195848,17.4422317202721,1.2626440421671046,0.7956597141581531,-0.5424369693594335,0.7775547163808283,8.640438660805865,7.603248489852065,7.302341977288278,6.672035246171039,8.62233366302854,7.624824343413739,9.278927917760502,8.241737746806702,7.940831234242915,7.310524503125676,9.260822919983177,8.263313600368376,8.145919759420932,8.860148229303801,8.838572375742128,10.894070236858589,4.26880907456171,9.942814102137431,10.7334,9.72428,10.688644121179944,-0.471023,-1.94697,-0.4857868050459314,-0.929001,0.9900000095367432,0,1
35,587726015087575099,HATLAS_J145019.0+015206,2017.1.00025.S,2017,222.57934753,1.86813388,0.069388,1.95595,1.7326827925306176,19.575989354750103,0.8757812673446147,0.4430844416956337,-0.03617828044867,0.2713130685627425,8.792817667790613,7.651248485502988,8.31355494564631,6.845986627325877,8.621046294657724,7.6289368727782225,9.43130692474525,8.289737742457625,8.952044202600947,7.484475884280514,9.25953555161236,8.26742612973286,8.202829537559088,9.025370406035243,9.026985676180898,13.853808568918398,29.347311265203462,9.819953287081107,10.6482,10.127,10.492576586523272,0.447684,-0.094009,0.3006022978276727,-0.0996385,,0,0
36,587726014550704284,HATLAS_J145013.2+012125,2017.1.00025.S,2017,222.55481712,1.35674863,0.069134,2.94058,1.7306653890962738,19.504478185024983,0.8757812732833994,0.4597229763032909,-0.0435420687906226,0.2970744257298522,8.806219433555526,7.7709665550122935,8.302954388461613,6.913169622485061,8.643570882982088,7.751256592727318,9.444708690510163,8.40945581196693,8.94144364541625,7.551658879439698,9.282060139936725,8.389745849681955,8.387054135734955,9.196145132488368,9.215855094773344,10.845582406604937,24.534926764752644,7.803946622737109,10.2772,9.59631,10.175649881120522,0.537645,0.211776,0.2601098971102116,0.263241,0.0199999995529651,0,0
37,587727944034091201,COSMOS-1197519,2018.1.01852.S,2018,150.33559079,2.30491993,0.122951,2.44488,1.767757309180948,24.61532129588552,1.1761591836314396,,,,,,,,,,,,,,,,,,,,,,10.6675,10.1465,10.511790368805809,0.601548,0.078251,0.446825168802066,-0.187211,,1,0
