#objID z mass rpetro ra dec res mrs proj
588023669708816634 0.035618 9.49906 4.21313 184.5608333333373 20.333472222222255 1.0847088328454686 14.281165935437427 2022.1.00482.S
588023669708816634 0.035618 9.49906 4.21313 184.5608333333373 20.333472222222255 1.0847088328454686 14.281165935437427 2022.1.00482.S
588023669708816634 0.035618 9.49906 4.21313 184.5608333333373 20.333472222222255 1.0847088328454686 14.281165935437427 2022.1.00482.S
588023669708816634 0.035618 9.49906 4.21313 184.5608333333373 20.333472222222255 1.0847088328454686 14.281165935437427 2022.1.00482.S
588023669702262904 0.198794 11.4125 3.23239 168.59920833331927 19.654388888889653 14.07737220709797 78.75595073231715 2019.2.00194.S
588023669702262904 0.198794 11.4125 3.23239 168.59920833331927 19.654388888889653 14.07737220709797 78.75595073231715 2019.2.00194.S
588023669702262904 0.198794 11.4125 3.23239 168.59920833331927 19.654388888889653 14.07737220709797 78.75595073231715 2019.2.00194.S
588023669705277691 0.07042 10.1735 1.29267 175.92832705854926 19.988778690877716 0.7693905137070174 9.654207245885408 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92832705854926 19.988778690877716 0.7693905137070174 9.654207245885408 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92832705854926 19.988778690877716 0.7693905137070174 9.654207245885408 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92832705854926 19.988778690877716 0.7693905137070174 9.654207245885408 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92823894597115 19.988685353403522 5.505696943859164 37.149754104180914 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92823894597115 19.988685353403522 5.505696943859164 37.149754104180914 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92823894597115 19.988685353403522 5.505696943859164 37.149754104180914 2021.1.01616.L
588023669705277691 0.07042 10.1735 1.29267 175.92823894597115 19.988685353403522 5.505696943859164 37.149754104180914 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98925257148318 20.17509514096686 5.644397217596625 36.92055743400651 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98925257148318 20.17509514096686 5.644397217596625 36.92055743400651 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98925257148318 20.17509514096686 5.644397217596625 36.92055743400651 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98925257148318 20.17509514096686 5.644397217596625 36.92055743400651 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98951015034038 20.17504382774988 0.8130000967078442 9.637911118604984 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98951015034038 20.17504382774988 0.8130000967078442 9.637911118604984 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98951015034038 20.17504382774988 0.8130000967078442 9.637911118604984 2021.1.01616.L
588023669705343023 0.019909 9.43861 4.86143 175.98951015034038 20.17504382774988 0.8130000967078442 9.637911118604984 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.78177862444733 20.018501339855142 5.436254554208444 34.594631809077725 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.78177862444733 20.018501339855142 5.436254554208444 34.594631809077725 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.78177862444733 20.018501339855142 5.436254554208444 34.594631809077725 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.78177862444733 20.018501339855142 5.436254554208444 34.594631809077725 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.7817002970778 20.018378335121092 0.7863854784160499 10.213751851801918 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.7817002970778 20.018378335121092 0.7863854784160499 10.213751851801918 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.7817002970778 20.018378335121092 0.7863854784160499 10.213751851801918 2021.1.01616.L
588023669705211960 0.023492 9.90663 1.79711 175.7817002970778 20.018378335121092 0.7863854784160499 10.213751851801918 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14267046010494 20.125238424967122 5.51523145142471 33.611563368687875 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14267046010494 20.125238424967122 5.51523145142471 33.611563368687875 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14267046010494 20.125238424967122 5.51523145142471 33.611563368687875 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14267046010494 20.125238424967122 5.51523145142471 33.611563368687875 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14245839184747 20.125330161235407 0.7869152840814908 10.167539659401418 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14245839184747 20.125330161235407 0.7869152840814908 10.167539659401418 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14245839184747 20.125330161235407 0.7869152840814908 10.167539659401418 2021.1.01616.L
588023669705408640 0.024048 10.2502 4.21002 176.14245839184747 20.125330161235407 0.7869152840814908 10.167539659401418 2021.1.01616.L
587738410870243376 0.004007 7.88719 25.1024 168.77554642223788 14.787541347038628 5.1968181055581235 33.32505154733674 2017.1.00886.L
587738410870243376 0.004007 7.88719 25.1024 168.77554642223788 14.787541347038628 5.1968181055581235 33.32505154733674 2017.1.00886.L
587738410870243376 0.004007 7.88719 25.1024 168.77554642223788 14.787541347038628 5.1968181055581235 33.32505154733674 2017.1.00886.L
587738410870243376 0.004007 7.88719 25.1024 168.77554642223788 14.787541347038628 5.1968181055581235 33.32505154733674 2017.1.00886.L
