#objID z mass rpetro ra dec res mrs sens_10kms year muid proj name K03 K01 WISE LERG
587726015086723332 0.067333 10.5659 2.52563 220.68457199 1.97961388 1.7624829905872923 20.385919307537645 2.2246185984088767 2017 uid://A001/X1284/X152c 2017.1.00025.S HATLAS_J144244.2+015846 1 0 0 0
587726015087575099 0.069388 10.6482 1.95595 222.57934753 1.86813388 1.7326836874595628 19.575980385794775 0.8757812673446147 2017 uid://A001/X1284/X1530 2017.1.00025.S HATLAS_J145019.0+015206 1 1 1 0
587726015620317332 0.068509 10.6082 1.9477 213.14802 2.52503495 1.0512567500687395 14.190797439828517 1.422285139339821 2017 uid://A001/X1284/X1534 2017.1.00025.S HATLAS_J141235.5+023130 0 0 0 0
587726015626805415 0.219451 11.2813 0.798089 228.06559398 2.05470349 2.789495768173437 26.2941936416601 2.100433681401036 2022 uid://A001/X2d20/X27e0 2022.1.00445.S J1512+0203 0 0 1 0
587726016160727273 0.190579 11.1695 2.61514 221.32868592 2.83675406 1.5441457083822692 14.272271673188772 0.611858087906798 2015 uid://A001/X2fe/X183 2015.1.00405.S AGC249559 0 0 0 0
587726016684228815 0.04861 10.7675 5.65345 190.78901743 3.58121715 2.5355188397514246 23.49815788166577 1.4550812457452649 2021 uid://A001/X15a2/X761 2021.1.01089.S 136638 0 0 0 0
587726016684359773 0.048019 10.8803 3.57544 190.98447099 3.61646412 2.538933153006226 23.508684531743267 1.4550816037664767 2021 uid://A001/X15a2/X761 2021.1.01089.S 122665 1 0 0 0
587726031176138762 0.020905 9.52049 7.15051 182.99771303 1.35003785 2.439669054664597 21.279389715287174 0.602541905976116 2016 uid://A001/X8a9/X60 2016.1.00948.S rs0768 0 0 0 0
587726031176138910 0.020376 9.21577 6.49133 183.03838927 1.31148674 2.3741192388605006 21.98206546848914 0.6182560203490872 2016 uid://A001/X8a9/X64 2016.1.00948.S rs0769 0 0 0 0
587726031691579711 0.169156 11.006 1.61612 134.06675871 0.8767164 2.1757365145554637 18.967659426962037 2.83282374088511 2012 uid://A002/X75fbd6/X89 2012.1.01080.S HATLASJ085616.0+005237 0 0 0 0
587726031692824812 0.128077 10.6933 1.52046 136.95862734 1.02807357 0.5375423268856918 8.153117269939836 0.5254800582608236 2015 uid://A001/X5a3/X87 2015.1.01012.S G09.v2.107 0 0 1 0
587726032227008788 0.077701 10.3341 1.66023 130.77147278 1.14877463 2.4756984982624113 25.14225595628177 2.3230471891841558 2013 uid://A001/X147/X2e5 2013.1.00530.S HOT2_EI_CII_G09.v2.167 0 0 0 1
587726032227336433 0.069964 10.5316 2.27111 131.46700511 1.18909037 2.3888917628763062 22.782690325366975 2.0547366367308126 2013 uid://A001/X147/X2ce 2013.1.00058.S HATLAS_J084552.0+011121 0 0 0 0
587726032228188446 0.04407 10.1912 2.77952 133.52458939 1.19185948 2.3553819119895496 23.323674748015183 2.739544912726118 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.137 0 0 0 0
587726032228909342 0.071052 10.7386 2.24244 135.14244377 1.31591094 2.4124186583109886 22.853061223838285 1.954724608402811 2013 uid://A001/X147/X2d2 2013.1.00058.S HATLAS_J090034.2+011856 1 0 0 0
587726032234610739 0.073934 11.2523 4.15776 148.11578256 1.68927588 1.1385322069320611 9.979879008925945 0.759584142109129 2012 uid://A002/X5d7935/X2e0 2012.1.00539.S Q09498+0155 1 0 0 0
587726032263446738 0.082139 11.493 5.23955 214.04927841 1.86797804 1.753187399191451 15.507195604092948 0.6639845860588097 2015 uid://A001/X2fa/X3b 2015.1.00320.S 2MASXJ14161186+0152048 0 0 0 0
587726032263971003 0.264622 11.2113 1.81688 215.24157765 1.87559872 1.595517012668673 13.11640423682672 3.2829848028029276 2012 uid://A002/X75fbd6/X91 2012.1.01080.S HATLASJ142057.9+015233 0 0 1 0
587726032266789096 0.068752 10.2913 3.41975 221.71705938 1.66996109 1.7816628693309706 20.510022504663663 2.224621170579099 2017 uid://A001/X1284/X152c 2017.1.00025.S HATLAS_J144652.0+014010 0 0 0 0
587726032764076412 0.070403 10.4109 2.26431 131.24377506 1.6744312 2.3923940193247337 22.842322329399074 2.0547362139856573 2013 uid://A001/X147/X2ce 2013.1.00058.S HATLAS_J084458.3+014027 0 0 0 0
587726032765059337 0.04101 10.4956 6.04436 133.41969201 1.56350665 2.3594620523302696 23.374873361048977 2.7395446983627725 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.103 1 0 0 0
587726032766828783 0.181858 11.3488 1.97104 137.45671026 1.81320872 2.3578465316147184 23.64049112341346 2.894553275781951 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.26 0 0 0 0
587726032767025441 0.16945 10.8482 2.26792 137.988197 1.74830334 2.200098391141268 19.748717866528132 2.8328357067918986 2012 uid://A002/X75fbd6/X89 2012.1.01080.S HATLASJ091157.2+014453 0 0 0 0
587726033300881540 0.025552 10.3121 4.67893 131.11856269 2.063963 2.359102196947137 22.78685301154899 3.224373545879802 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.52 0 0 0 0
587726033302782270 0.200926 11.0731 2.5136 135.33613485 2.04025983 2.1858748809550197 19.046550482542735 2.8591373836299296 2012 uid://A002/X75fbd6/X89 2012.1.01080.S HATLASJ090120.7+020223 0 0 0 0
587726033304944826 0.05041 10.7247 4.19606 140.29344703 2.20123436 1.0157176872375742 12.157533102183134 0.6961465673287857 2017 uid://A001/X1273/X726 2017.1.00601.S GAMA348116 1 0 0 0
587726033309335775 0.123606 11.2869 2.84131 150.40387927 2.50887531 1.7668884175614072 24.59434028938308 1.1761592603282827 2018 uid://A001/X133d/X4226 2018.1.01852.S COSMOS-1411106 0 0 0 0
587726033335550094 0.251876 11.6911 2.91803 210.25863088 2.87846855 1.333457630775241 10.534611347566267 1.50008609225244 2011 uid://A002/X327408/X22f 2011.0.00374.S Abell 0 0 1 1
587726033339351192 0.065314 10.2395 2.12357 219.00694845 2.49281274 1.7290111920917812 19.43411833712262 0.8624063970149171 2017 uid://A001/X1284/X1530 2017.1.00025.S HATLAS_J143601.6+022933 0 0 0 0
587726100411121941 0.245468 11.2589 2.48899 216.89873732 3.57619308 1.6313313519098622 14.523758825733209 0.4992325291725493 2015 uid://A001/X2fe/X177 2015.1.00405.S AGC242147 0 0 0 0
587726102556180606 0.195394 11.029 3.12167 211.34468727 5.47073595 1.5934101473084958 15.166856994954799 0.5247381573338126 2015 uid://A001/X2fe/X17b 2015.1.00405.S AGC242091 0 0 0 0
587726877262086322 0.141144 10.3631 1.07943 311.01214 -6.78275665 0.12943381703359816 3.465784001379242 0.47595031613569677 2016 uid://A001/X8aa/X44 2016.1.00852.S G20-2 0 0 0 0
587726877264249088 0.136618 10.8909 1.36391 315.99477989 -7.46735295 0.21265946726068174 3.4203474263523055 0.45121633612765655 2016 uid://A001/X87c/X357 2016.1.01265.S 210358 0 0 1 0
587726877267460155 0.087181 11.2147 3.60122 323.23606923 -8.45053801 1.070562243464366 9.404101925707346 1.1777126069654675 2012 uid://A002/X5d7935/X2ec 2012.1.00539.S Q21303-0840 1 0 0 0
